Date,Close,High,Low,Open,Volume,Returns,Rolling Mean,Rolling Volatility,Cumulative Return,Fear_Greed,Risk_Adjustment_Returns,Fear_Signal,Investor_Bias,Recommendataion,sharpe_Rato,Rolling_Sharpe,Performance,Recommendation,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Market_Return,Recommendation_Shifted
2019-04-26,48.72639846801758,48.893350644801465,48.20645752970833,48.869498774138975,74596400,-0.0047738909591601,46.772251001993816,0.0111695502648962,1.2004936623049456,Greed,-0.4274022539800499,Greed,Neutral,Hold,-0.4274022539800499,,Poor,Hold,0.0,0.9161667488450426,1.2004936623049465,Hold
2019-04-29,48.80033493041992,49.12470072433398,48.621456815525065,48.75024745696415,88818800,0.0015173799978438,46.91924921671549,0.0110321019838926,1.2023152673756654,Greed,0.137542238102879,Greed,Greed,Hold,0.137542238102879,,Poor,Sell,0.0,0.9161667488450426,1.2023152673756663,Hold
2019-04-30,47.860618591308594,48.51173378273669,47.4885527676354,48.43064325999435,186139600,-0.0192563501961858,47.01981824239095,0.0116810341247842,1.1791630635408588,Greed,-1.6485141632562046,Greed,Neutral,Hold,-1.6485141632562046,,Poor,Hold,0.0192563501961858,0.9338087765989037,1.1791630635408596,Sell
2019-05-01,50.20989227294922,51.35232549546432,49.90221989618125,50.05724976982913,259309200,0.049085735846867,47.21054191589356,0.0143118005769726,1.2370431501982078,Greed,3.429738667952442,Greed,Greed,Hold,3.429738667952442,,Poor,Sell,0.0,0.9338087765989037,1.2370431501982089,Hold
2019-05-02,49.88313674926758,50.71790119448601,49.63986515980281,50.04770517932468,127985200,-0.0065077917695052,47.37741521199544,0.0144131693992926,1.2289927309668252,Greed,-0.4515170528575486,Greed,Neutral,Hold,-0.4515170528575486,,Poor,Hold,0.0065077917695052,0.9398858096695457,1.2289927309668263,Sell
2019-05-03,50.50323867797852,50.524703171639125,50.14071145926002,50.29812502467135,83569600,0.0124310933337616,47.50986417134603,0.0131041223815418,1.2442704543119885,Greed,0.9486398990955538,Greed,Greed,Hold,0.9486398990955538,,Poor,Sell,0.0,0.9398858096695457,1.2442704543119896,Hold
2019-05-06,49.72333908081055,49.8092007115888,48.53558955444818,48.72400621236716,129772400,-0.0154425660132572,47.64843521118164,0.0128100964639792,1.22505572568293,Greed,-1.2054995882880557,Greed,Neutral,Hold,-1.2054995882880557,,Poor,Hold,0.0154425660132572,0.9544000583302913,1.225055725682931,Sell
2019-05-07,48.382938385009766,49.47051642035154,47.89877538804212,49.1032217341043,155054800,-0.0269571738459147,47.76069081624349,0.0136722369020114,1.192031685514762,Greed,-1.971672524336444,Greed,Neutral,Hold,-1.971672524336444,,Poor,Hold,0.0,0.9544000583302913,1.1920316855147632,Hold
2019-05-08,48.39247894287109,48.97442951122127,48.11820069203762,48.15397485022159,105358000,0.0001971884755203,47.888767369588216,0.0134651325448524,1.1922667404256004,Greed,0.0146443768647255,Greed,Greed,Hold,0.0146443768647255,,Poor,Sell,0.0,0.9544000583302913,1.1922667404256018,Hold
2019-05-09,47.87255859375,48.10152056516905,46.904232219536055,47.79623551042037,139634400,-0.0107438254968272,47.98615684509277,0.0136356102537875,1.1794572346207968,Greed,-0.7879240677066827,Greed,Neutral,Hold,-0.7879240677066827,0.1702980391842,Good,Hold,0.0107438254968272,0.9646539660111537,1.179457234620798,Sell
